"ID","Name","Source","diet","sex","strain"
"143751","ORSAM2810-1","JMUS614","44% fat + fiber","female","CAST/EiJ"
"143534","ORSAM2811-1","JMUS615","44% fat + fiber","female","CAST/EiJ"
"143808","ORSAM2812-1","JMUS616","44% fat + fiber","male","CAST/EiJ"
"143612","ORSAM2813-1","JMUS617","44% fat + fiber","male","CAST/EiJ"
"143574","ORSAM2814-1","JMUS618","44% fat + fiber","male","CAST/EiJ"
"143666","ORSAM2831-1","JMUS602","44% fat + fiber","female","C57BL/6J"
"143688","ORSAM2832-1","JMUS606","44% fat + fiber","female","C57BL/6J"
"143595","ORSAM2833-1","JMUS603","44% fat + fiber","male","C57BL/6J"
"143585","ORSAM2834-1","JMUS607","44% fat + fiber","male","C57BL/6J"
"143850","ORSAM2835-1","JMUS604","10% fat + fiber","female","C57BL/6J"
"143606","ORSAM2836-1","JMUS608","10% fat + fiber","female","C57BL/6J"
"143510","ORSAM2837-1","JMUS605","10% fat + fiber","male","C57BL/6J"
"143525","ORSAM2838-1","JMUS609","10% fat + fiber","male","C57BL/6J"
"143665","ORSAM2842-1","JMUS610","10% fat + fiber","female","CAST/EiJ"
"143628","ORSAM2844-1","JMUS611","10% fat + fiber","female","CAST/EiJ"
"143718","ORSAM2846-1","JMUS612","10% fat + fiber","male","CAST/EiJ"
"143776","ORSAM2848-1","JMUS613","10% fat + fiber","male","CAST/EiJ"
"143840","ORSAM2965-1","JMUS1069","10% fat + fiber","female","C57BL/6J"
"143657","ORSAM2966-1","JMUS1071","10% fat + fiber","female","C57BL/6J"
"143754","ORSAM2967-1","JMUS1073","44% fat + fiber","female","C57BL/6J"
"143501","ORSAM2968-1","JMUS1076","44% fat + fiber","female","C57BL/6J"
"143730","ORSAM2969-1","JMUS1070","10% fat + fiber","male","C57BL/6J"
"143799","ORSAM2970-1","JMUS1072","10% fat + fiber","male","C57BL/6J"
"143678","ORSAM2971-1","JMUS1074","44% fat + fiber","male","C57BL/6J"
"143722","ORSAM2972-1","JMUS1075","44% fat + fiber","male","C57BL/6J"
"143752","ORSAM2973-1","JMUS796","10% fat + fiber","female","CAST/EiJ"
"143834","ORSAM2974-1","JMUS797","10% fat + fiber","female","CAST/EiJ"
"143720","ORSAM2975-1","JMUS798","44% fat + fiber","female","CAST/EiJ"
"143831","ORSAM2976-1","JMUS2434","44% fat + fiber","female","CAST/EiJ"
"143845","ORSAM2977-1","JMUS1081","44% fat + fiber","female","CAST/EiJ"
"143826","ORSAM2978-1","JMUS1083","44% fat + fiber","female","CAST/EiJ"
"143797","ORSAM2979-1","JMUS1705","44% fat + fiber","female","CAST/EiJ"
"143779","ORSAM2980-1","JMUS1080","44% fat + fiber","male","CAST/EiJ"
"143859","ORSAM2981-1","JMUS1082","44% fat + fiber","male","CAST/EiJ"
"143769","ORSAM2982-1","JMUS1084","44% fat + fiber","male","CAST/EiJ"
"143697","ORSAM2983-1","JMUS1077","10% fat + fiber","male","CAST/EiJ"
