"Name","Source","diet","sex","strain"
"ORSAM3445-1","JMUS1619","10% fat + fiber","female","CAST/EiJ"
"ORSAM3446-1","JMUS1620","10% fat + fiber","female","CAST/EiJ"
"ORSAM3447-1","JMUS1621","10% fat + fiber","female","CAST/EiJ"
"ORSAM3448-1","JMUS1622","44% fat + fiber","female","CAST/EiJ"
"ORSAM3449-1","JMUS1623","44% fat + fiber","female","CAST/EiJ"
"ORSAM3456-1","JMUS1630","44% fat + fiber","male","CAST/EiJ"
"ORSAM3457-1","JMUS1631","44% fat + fiber","male","CAST/EiJ"
"ORSAM3458-1","JMUS1632","10% fat + fiber","female","NZO/HlLtJ"
"ORSAM3459-1","JMUS1633","10% fat + fiber","female","NZO/HlLtJ"
"ORSAM3462-1","JMUS1636","10% fat + fiber","male","NZO/HlLtJ"
"ORSAM3463-1","JMUS1637","10% fat + fiber","male","NZO/HlLtJ"
"ORSAM3464-1","JMUS1638","10% fat + fiber","male","NZO/HlLtJ"
"ORSAM3470-1","JMUS1653","10% fat + fiber","male","C57BL/6J"
"ORSAM3471-1","JMUS1654","10% fat + fiber","male","C57BL/6J"
"ORSAM3472-1","JMUS1655","10% fat + fiber","male","C57BL/6J"
"ORSAM3473-1","JMUS1656","10% fat + fiber","male","C57BL/6J"
"ORSAM6240-1","JMUS3185","44% fat + fiber","male","NZO/HlLtJ"
"ORSAM6241-1","JMUS3184","44% fat + fiber","male","NZO/HlLtJ"
"ORSAM6245-1","JMUS3180","10% fat + fiber","female","NZO/HlLtJ"
"ORSAM6246-1","JMUS3179","10% fat + fiber","female","NZO/HlLtJ"
"ORSAM6250-1","JMUS3169","10% fat + fiber","male","C57BL/6J"
"ORSAM6254-1","JMUS3159","44% fat + fiber","male","C57BL/6J"
"ORSAM6259-1","JMUS3150","10% fat + fiber","female","C57BL/6J"
"ORSAM6260-1","JMUS3149","10% fat + fiber","female","C57BL/6J"
"ORSAM6265-1","JMUS3140","44% fat + fiber","female","C57BL/6J"
"ORSAM6266-1","JMUS3139","44% fat + fiber","female","C57BL/6J"
"ORSAM6270-1","JMUS3129","10% fat + fiber","male","CAST/EiJ"
"ORSAM6275-1","JMUS3120","44% fat + fiber","male","CAST/EiJ"
"ORSAM6276-1","JMUS3119","44% fat + fiber","male","CAST/EiJ"
"ORSAM6280-1","JMUS3109","10% fat + fiber","female","CAST/EiJ"
"ORSAM6285-1","JMUS3100","44% fat + fiber","female","CAST/EiJ"
"ORSAM6286-1","JMUS3099","44% fat + fiber","female","CAST/EiJ"
"ORSAM6314-1","JMUS3071","44% fat + fiber","male","NZO/HlLtJ"
"ORSAM6315-1","JMUS3070","44% fat + fiber","male","NZO/HlLtJ"
"ORSAM6316-1","JMUS3069","10% fat + fiber","male","NZO/HlLtJ"
"ORSAM6317-1","JMUS3068","10% fat + fiber","male","NZO/HlLtJ"
"ORSAM6319-1","JMUS3066","44% fat + fiber","female","NZO/HlLtJ"
"ORSAM6320-1","JMUS3065","44% fat + fiber","female","NZO/HlLtJ"
"ORSAM6321-1","JMUS3064","10% fat + fiber","female","NZO/HlLtJ"
"ORSAM6322-1","JMUS3063","10% fat + fiber","female","NZO/HlLtJ"
"ORSAM6324-1","JMUS3061","44% fat + fiber","male","CAST/EiJ"
"ORSAM6326-1","JMUS3059","10% fat + fiber","male","CAST/EiJ"
"ORSAM6329-1","JMUS3056","44% fat + fiber","female","CAST/EiJ"
"ORSAM6331-1","JMUS3054","10% fat + fiber","female","CAST/EiJ"
"ORSAM6333-1","JMUS3052","44% fat + fiber","male","C57BL/6J"
"ORSAM6335-1","JMUS3050","10% fat + fiber","male","C57BL/6J"
"ORSAM6338-1","JMUS3047","44% fat + fiber","female","C57BL/6J"
"ORSAM6341-1","JMUS3044","10% fat + fiber","female","C57BL/6J"
"ORSAM6479-1","JMUS3189","10% fat + fiber","female","C57BL/6J"
"ORSAM6481-1","JMUS3194","44% fat + fiber","female","C57BL/6J"
"ORSAM6483-1","JMUS3209","10% fat + fiber","male","C57BL/6J"
"ORSAM6484-1","JMUS3210","10% fat + fiber","male","C57BL/6J"
"ORSAM6486-1","JMUS3214","44% fat + fiber","male","C57BL/6J"
"ORSAM6487-1","JMUS3215","44% fat + fiber","male","C57BL/6J"
"ORSAM6489-1","JMUS3229","10% fat + fiber","female","CAST/EiJ"
"ORSAM6490-1","JMUS3230","10% fat + fiber","female","CAST/EiJ"
"ORSAM6492-1","JMUS3234","44% fat + fiber","female","CAST/EiJ"
"ORSAM6495-1","JMUS3250","10% fat + fiber","male","CAST/EiJ"
"ORSAM6497-1","JMUS3254","44% fat + fiber","male","CAST/EiJ"
"ORSAM6499-1","JMUS3269","44% fat + fiber","female","NZO/HlLtJ"
"ORSAM6500-1","JMUS3270","44% fat + fiber","female","NZO/HlLtJ"
"ORSAM6501-1","JMUS3274","10% fat + fiber","male","NZO/HlLtJ"
"ORSAM6502-1","JMUS3275","10% fat + fiber","male","NZO/HlLtJ"
