"Name","bedding","date of birth","date of death","diet","diet start date","sex","source pen ID","strain","treatment","Unique Mouse ID","genotype","Climb ID"
"JMUS1069","aspen","2019-10-20","2020-02-03","10% fat + fiber","2019-12-05","female","null","C57BL/6J","None","JMUS96ce7d5c703c38ef6e0c3150a41de2a1","WT","1011"
"JMUS1070","aspen","2019-10-20","2020-02-04","10% fat + fiber","2019-12-05","male","null","C57BL/6J","None","JMUS5d906c7be248de007924a0dad1d12992","WT","1015"
"JMUS1071","aspen","2019-10-20","2020-02-04","10% fat + fiber","2019-12-05","female","null","C57BL/6J","None","JMUSc4046dd7a48ce8fb67272f68a67c7aba","WT","1012"
"JMUS1072","aspen","2019-10-20","2020-02-04","10% fat + fiber","2019-12-05","male","null","C57BL/6J","None","JMUSe14de87084139cb0594dccb17d6e621d","WT","1016"
"JMUS1073","aspen","2019-10-20","2020-02-04","44% fat + fiber","2019-12-05","female","null","C57BL/6J","None","JMUS93d2ecdbc188550a8cb5f84597d9a7ba","WT","1013"
"JMUS1074","aspen","2019-10-20","2020-02-07","44% fat + fiber","2019-12-05","male","null","C57BL/6J","None","JMUS383d779ff3e847384123daae3a5f4056","WT","1017"
"JMUS1075","aspen","2019-10-20","2020-02-04","44% fat + fiber","2019-12-05","male","null","C57BL/6J","None","JMUSfd48774e564ff7f86db04dd4fc01b14a","WT","1018"
"JMUS1076","aspen","2019-10-20","2020-02-04","44% fat + fiber","2019-12-05","female","null","C57BL/6J","None","JMUSf3ef4f852f2e6ac987f1f8f7167a1624","WT","1014"
"JMUS1077","aspen","2019-10-20","2020-02-05","10% fat + fiber","2019-12-05","male","null","CAST/EiJ","None","JMUS8ebe4a2e5b5142b13f9d6430cab739b3","WT","1029"
"JMUS1078","aspen","2019-10-20","2020-02-05","10% fat + fiber","2019-12-05","male","null","CAST/EiJ","None","JMUS4223fe00a73043c294b0d01dde36944a","WT","1030"
"JMUS1079","aspen","2019-10-20","2020-01-20","10% fat + fiber","2019-12-05","male","null","CAST/EiJ","None","JMUSd5b3d49da0f83f3bc855cbdd4896e207","WT","1031"
